date,rooms,rooms_occupied,trailers_requested,trailers_delivered,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,beds_available
4/14/2020,0,0,3,0,1,1,1.113208,25,0,0,2,1
4/15/2020,0,0,3,0,1,0,1.113208,25,0,0,4,1
4/16/2020,0,0,3,0,1,0,1.113208,25,0,0,2,1
4/17/2020,67,32,3,0,1,0,1.113208,25,0,0,2,1
4/18/2020,67,37,3,0,0,0,1.113208,25,0,0,2,1
4/19/2020,67,48,3,0,0,0,1.113208,25,0,0,3,1
4/20/2020,67,41,3,0,0,0,1.113208,25,0,0,3,1
4/21/2020,67,41,3,3,1,0,1,25,0,0,2,1
4/22/2020,67,61,3,3,0,0,0,25,0,0,1,1
4/25/2020,67,40,3,3,0,0,0,25,0,0,0,0
4/26/2020,67,46,3,3,0,0,0,25,0,0,0,0
4/27/2020,67,49,3,3,0,0,0,25,0,0,0,0
4/28/2020,67,62,3,3,0,0,0,25,0,0,2,1
4/29/2020,67,62,3,3,0,0,0,25,0,0,1,1
4/30/2020,67,48,3,3,1,0,1,25,0,0,2,1
5/01/20,67,44,3,3,1,0,1,25,0,0,1,1
5/02/20,67,45,3,3,1,0,1,25,0,0,2,1
5/03/20,67,44,3,3,0,0,0,25,0,0,2,1
5/04/20,67,49,3,3,0,0,0,25,0,0,2,1
5/05/20,67,49,3,3,0,0,0,25,0,0,2,1
5/06/20,67,59,3,3,0,0,0,25,0,0,1,1
5/07/20,67,57,3,3,0,0,0,25,0,0,0,0
5/08/20,67,49,3,3,0,0,0,25,0,0,1,1
5/09/20,67,49,3,3,0,0,0,25,0,0,3,1
5/10/20,67,40,3,3,0,0,0,25,0,0,1,1
5/11/20,67,44,3,3,1,0,1,25,0,0,2,1
5/12/20,67,57,3,3,1,0,1,25,0,0,2,1
5/13/2020,67,56,3,3,1,0,1,25,1,0,1,1
5/14/2020,67,55,3,3,1,0,1,25,1,0,1,1
5/15/2020,67,42,3,3,1,0,1,25,1,0,1,1
5/16/2020,67,42,3,3,1,0,1,25,1,0,2,1
5/17/2020,67,40,3,3,1,0,1,25,1,0,1,1
5/18/2020,67,49,3,3,1,0,1,25,1,0,1,1
5/19/2020,67,52,3,3,1,0,1,25,1,0,1,1
5/20/2020,67,56,3,3,1,0,1,25,1,0,0,0
5/21/2020,67,51,3,3,1,0,1,25,1,0,0,0
5/22/2020,67,39,3,3,1,0,1,25,0,0,1,1
5/23/2020,67,39,3,3,1,0,1,25,0,0,2,1
5/24/2020,67,45,3,3,1,0,1,25,0,0,0,0
5/25/2020,67,45,3,3,1,0,1,25,0,0,0,0
5/26/2020,67,52,3,3,1,0,1,25,0,0,2,1
5/27/2020,67,64,3,3,1,0,1,25,0,0,1,1
5/28/2020,67,63,3,3,0,0,0,25,0,0,0,0
5/29/2020,67,50,3,3,0,0,0,25,0,0,1,1
6/01/20,67,50,3,3,0,0,0,25,0,0,3,1
6/02/20,67,59,3,3,0,0,0,25,0,0,2,1
6/03/20,67,59,3,3,0,0,0,25,0,0,2,1
6/04/20,97,70,3,3,0,0,0,25,0,0,2,1
6/05/20,97,70,3,3,0,0,0,25,0,0,1,1
6/08/20,97,73,3,3,0,0,0,25,0,0,2,1
6/09/20,97,87,3,3,0,0,0,25,0,0,2,1
6/10/20,97,86,3,3,0,0,0,25,0,0,1,1
6/11/20,97,90,3,3,0,0,0,25,0,0,1,1
6/12/20,97,70,3,3,0,0,0,25,0,0,1,1
6/15/2020,97,62,3,3,0,0,0,25,0,0,0,0
6/16/2020,97,88,3,3,0,0,0,25,0,0,0,0
6/17/2020,97,92,3,3,0,0,0,25,0,0,0,0
6/18/2020,97,80,3,3,0,0,0,25,0,0,1,1
6/19/2020,97,81,3,3,0,0,0,25,0,0,2,1
6/22/2020,97,83,3,3,0,0,0,25,0,0,1,1
6/23/2020,97,78,3,3,0,0,0,25,0,0,1,1
6/24/2020,97,76,3,3,0,0,0,25,0,0,1,1
6/25/2020,97,81,3,3,0,0,0,25,0,0,1,1
6/26/2020,97,75,3,3,0,0,0,25,0,0,1,1
6/29/2020,97,85,3,3,0,0,0,25,0,0,1,1
6/30/2020,97,85,3,3,1,0,1,25,0,0,0,0
7/01/20,97,85,3,3,1,0,1,25,0,0,1,1
7/02/20,97,87,3,3,1,0,1,25,0,0,1,1
7/03/20,97,85,3,3,1,0,1,25,0,0,0,0
7/06/20,97,85,3,3,0,0,0,25,0,0,0,0
7/07/20,97,84,3,3,1,0,1,25,0,0,0,0
7/08/20,97,81,3,3,2,0,2,25,0,0,0,0
7/09/20,97,81,3,3,3,0,3,25,1,0,1,1
7/10/20,97,96,3,3,4,0,4,25,1,0,2,1
7/13/2020,97,83,3,3,2,0,2,25,0,0,3,1
7/14/2020,23,23,3,3,2,0,2,25,0,0,3,1
7/15/2020,20,20,3,3,1,0,1,25,0,0,1,1
7/16/2020,20,20,3,3,1,0,1,25,0,0,2,1
7/17/2020,21,21,3,3,2,0,2,25,0,0,2,1
7/20/2020,23,23,3,3,2,0,2,25,0,0,1,1
7/21/2020,23,23,3,3,4,0,4,25,2,0,0,0
7/22/2020,23,23,3,3,2,0,2,25,1,0,1,1
7/23/2020,23,23,3,3,3,0,3,25,1,0,0,0
7/24/2020,23,23,3,3,6,0,6,25,1,0,0,0
7/27/2020,23,23,3,3,6,0,6,25,1,0,0,0
7/28/2020,23,23,3,3,7,0,7,25,2,0,0,0
7/29/2020,23,23,3,3,3,1,4,25,1,1,2,1
7/30/2020,23,23,3,3,3,0,3,25,1,0,1,1
7/31/2020,23,23,3,3,1,0,1,25,1,0,1,1
8/03/20,23,23,3,3,3,0,3,25,1,0,2,1
8/04/20,23,23,3,3,3,0,3,25,1,0,1,1
