date,rooms,rooms_occupied,trailers_requested,trailers_delivered,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,beds_available,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths
4/14/2020,0,0,3,0,1,1,1.113208,25,0,0,2,1,34,2,1,0
4/15/2020,0,0,3,0,1,0,1.113208,25,0,0,4,1,34,2,0,0
4/16/2020,0,0,3,0,1,0,1.113208,25,0,0,2,1,36,2,2,0
4/17/2020,67,32,3,0,1,0,1.113208,25,0,0,2,1,38,2,2,0
4/18/2020,67,37,3,0,0,0,1.113208,25,0,0,2,1,40,2,2,0
4/19/2020,67,48,3,0,0,0,1.113208,25,0,0,3,1,40,2,0,0
4/20/2020,67,41,3,0,0,0,1.113208,25,0,0,3,1,43,2,3,0
4/21/2020,67,41,3,3,1,0,1,25,0,0,2,1,43,2,0,0
4/22/2020,67,61,3,3,0,0,0,25,0,0,1,1,43,2,0,0
4/25/2020,67,40,3,3,0,0,0,25,0,0,0,0,45,2,0,0
4/26/2020,67,46,3,3,0,0,0,25,0,0,0,0,45,2,0,0
4/27/2020,67,49,3,3,0,0,0,25,0,0,0,0,45,2,0,0
4/28/2020,67,62,3,3,0,0,0,25,0,0,2,1,46,2,1,0
4/29/2020,67,62,3,3,0,0,0,25,0,0,1,1,48,2,2,0
4/30/2020,67,48,3,3,1,0,1,25,0,0,2,1,48,2,0,0
5/01/20,67,44,3,3,1,0,1,25,0,0,1,1,49,2,1,0
5/02/20,67,45,3,3,1,0,1,25,0,0,2,1,49,2,0,0
5/03/20,67,44,3,3,0,0,0,25,0,0,2,1,49,2,0,0
5/04/20,67,49,3,3,0,0,0,25,0,0,2,1,49,2,0,0
5/05/20,67,49,3,3,0,0,0,25,0,0,2,1,50,2,1,0
5/06/20,67,59,3,3,0,0,0,25,0,0,1,1,50,2,0,0
5/07/20,67,57,3,3,0,0,0,25,0,0,0,0,50,2,0,0
5/08/20,67,49,3,3,0,0,0,25,0,0,1,1,51,2,1,0
5/09/20,67,49,3,3,0,0,0,25,0,0,3,1,52,2,1,0
5/10/20,67,40,3,3,0,0,0,25,0,0,1,1,52,2,0,0
5/11/20,67,44,3,3,1,0,1,25,0,0,2,1,52,2,0,0
5/12/20,67,57,3,3,1,0,1,25,0,0,2,1,55,2,3,0
5/13/2020,67,56,3,3,1,0,1,25,1,0,1,1,55,2,0,0
5/14/2020,67,55,3,3,1,0,1,25,1,0,1,1,56,2,1,0
5/15/2020,67,42,3,3,1,0,1,25,1,0,1,1,57,2,1,0
5/16/2020,67,42,3,3,1,0,1,25,1,0,2,1,58,2,1,0
5/17/2020,67,40,3,3,1,0,1,25,1,0,1,1,59,2,1,0
5/18/2020,67,49,3,3,1,0,1,25,1,0,1,1,59,2,0,0
5/19/2020,67,52,3,3,1,0,1,25,1,0,1,1,59,2,0,0
5/20/2020,67,56,3,3,1,0,1,25,1,0,0,0,61,2,2,0
5/21/2020,67,51,3,3,1,0,1,25,1,0,0,0,61,2,0,0
5/22/2020,67,39,3,3,1,0,1,25,0,0,1,1,64,2,3,0
5/23/2020,67,39,3,3,1,0,1,25,0,0,2,1,67,2,3,0
5/24/2020,67,45,3,3,1,0,1,25,0,0,0,0,67,2,0,0
5/25/2020,67,45,3,3,1,0,1,25,0,0,0,0,70,2,3,0
5/26/2020,67,52,3,3,1,0,1,25,0,0,2,1,69,2,-1,0
5/27/2020,67,64,3,3,1,0,1,25,0,0,1,1,74,2,5,0
5/28/2020,67,63,3,3,0,0,0,25,0,0,0,0,82,2,8,0
5/29/2020,67,50,3,3,0,0,0,25,0,0,1,1,84,2,2,0
6/01/20,67,50,3,3,0,0,0,25,0,0,3,1,86,2,1,0
6/02/20,67,59,3,3,0,0,0,25,0,0,2,1,86,2,0,0
6/03/20,67,59,3,3,0,0,0,25,0,0,2,1,88,2,2,0
6/04/20,97,70,3,3,0,0,0,25,0,0,2,1,88,2,0,0
6/05/20,97,70,3,3,0,0,0,25,0,0,1,1,92,2,4,0
6/08/20,97,73,3,3,0,0,0,25,0,0,2,1,93,2,1,0
6/09/20,97,87,3,3,0,0,0,25,0,0,2,1,95,2,2,0
6/10/20,97,86,3,3,0,0,0,25,0,0,1,1,94,2,-1,0
6/11/20,97,90,3,3,0,0,0,25,0,0,1,1,94,2,0,0
6/12/20,97,70,3,3,0,0,0,25,0,0,1,1,96,2,2,0
6/15/2020,97,62,3,3,0,0,0,25,0,0,0,0,108,2,4,0
6/16/2020,97,88,3,3,0,0,0,25,0,0,0,0,110,2,2,0
6/17/2020,97,92,3,3,0,0,0,25,0,0,0,0,116,2,6,0
6/18/2020,97,80,3,3,0,0,0,25,0,0,1,1,134,2,18,0
6/19/2020,97,81,3,3,0,0,0,25,0,0,2,1,136,2,2,0
6/22/2020,97,83,3,3,0,0,0,25,0,0,1,1,164,2,13,0
6/23/2020,97,78,3,3,0,0,0,25,0,0,1,1,167,2,3,0
6/24/2020,97,76,3,3,0,0,0,25,0,0,1,1,171,2,4,0
6/25/2020,97,81,3,3,0,0,0,25,0,0,1,1,175,2,4,0
6/26/2020,97,75,3,3,0,0,0,25,0,0,1,1,177,2,2,0
6/29/2020,97,85,3,3,0,0,0,25,0,0,1,1,204,2,10,0
6/30/2020,97,85,3,3,1,0,1,25,0,0,0,0,212,2,8,0
7/01/20,97,85,3,3,1,0,1,25,0,0,1,1,219,2,7,0
7/02/20,97,87,3,3,1,0,1,25,0,0,1,1,236,2,17,0
7/03/20,97,85,3,3,1,0,1,25,0,0,0,0,243,2,7,0
7/06/20,97,85,3,3,0,0,0,25,0,0,0,0,264,2,6,0
7/07/20,97,84,3,3,1,0,1,25,0,0,0,0,274,2,10,0
7/08/20,97,81,3,3,2,0,2,25,0,0,0,0,282,2,8,0
7/09/20,97,81,3,3,3,0,3,25,1,0,1,1,295,2,13,0
7/10/20,97,96,3,3,4,0,4,25,1,0,2,1,302,2,7,0
7/13/2020,97,83,3,3,2,0,2,25,0,0,3,1,343,2,19,0
7/14/2020,23,23,3,3,2,0,2,25,0,0,3,1,360,2,17,0
7/15/2020,20,20,3,3,1,0,1,25,0,0,1,1,388,2,28,0
7/16/2020,20,20,3,3,1,0,1,25,0,0,2,1,389,2,1,0
7/17/2020,21,21,3,3,2,0,2,25,0,0,2,1,399,2,10,0
7/20/2020,23,23,3,3,2,0,2,25,0,0,1,1,433,2,21,0
7/21/2020,23,23,3,3,4,0,4,25,2,0,0,0,444,2,11,0
7/22/2020,23,23,3,3,2,0,2,25,1,0,1,1,465,2,21,0
7/23/2020,23,23,3,3,3,0,3,25,1,0,0,0,478,2,13,0
7/24/2020,23,23,3,3,6,0,6,25,1,0,0,0,485,2,7,0
7/27/2020,23,23,3,3,6,0,6,25,1,0,0,0,498,2,3,0
7/28/2020,23,23,3,3,7,0,7,25,2,0,0,0,503,3,5,1
7/29/2020,23,23,3,3,3,1,4,25,1,1,2,1,537,4,34,1
7/30/2020,23,23,3,3,3,0,3,25,1,0,1,1,558,4,21,0
7/31/2020,23,23,3,3,1,0,1,25,1,0,1,1,567,4,9,0
8/03/20,23,23,3,3,3,0,3,25,1,0,2,1,603,4,4,0
8/04/20,23,23,3,3,3,0,3,25,1,0,1,1,608,4,5,0