Gen_Code,Fuel_Code
aratiatia,Hydro
argyle_wairau,Hydro
arapuni,Hydro
highbank,Hydro
atiamuri,Hydro
aviemore,Hydro
benmore,Hydro
twf_12,Wind
waipori,Hydro
coleridge,Hydro
clyde,Hydro
glenbrook_kilns,Gas
huntly_1_4,Coal
huntly_p40,Gas
huntly_e3p,Gas
patea,Hydro
whareroa,Gas
kawerau_new,Geo
kinleith,Wood
ngawha,Geo
kapuni,Gas
karapiro,Hydro
manapouri,Hydro
matahina,Hydro
aniwhenua,Hydro
mangahao,Hydro
McKee,Gas
maraetai,Hydro
nap,Geo
Ngatamariki,Geo
white_hill,Wind
paerau,Hydro
ohau_a,Hydro
ohau_b,Hydro
ohau_c,Hydro
ohakuri,Hydro
ohaaki,Geo
poihipi,Geo
wheao_flaxy,Hydro
roxburgh,Hydro
rangipo,Hydro
stratford,Gas
southdown,Gas
Te_Mihi,Geo
tekapo_a,Hydro
tekapo_b,Hydro
tokaanu,Hydro
waikaremoana,Hydro
twf_3,Wind
te_rere_hau,Wind
te_rapa,Gas
te_uku,Wind
te_apiti,Wind
whirinaki,Diesel
whakamaru,Hydro
mokai,Geo
waipapa,Hydro
rotokawa,Geo
tehuka,Geo
wairakei,Geo
waitaki,Hydro
west_wind,Wind